Kabupaten/Kota,Provinsi,Latitude,Longitude
Kab. Banggai,Sulawesi Tengah,-1.1309,122.8465
Kab. Bulukumba,Sulawesi Selatan,-5.3912,120.2559
Kab. Gorontalo,Gorontalo,0.5407,122.9902
Kab. Lombok Timur,Nusa Tenggara Barat,-8.6500,116.5300
Kab. Majene,Sulawesi Barat,-3.551,119.0069
Kota Mamuju,Sulawesi Barat,-2.68,118.887
Kab. Merauke,Papua Selatan,-8.4716,140.3807
Kab. Mimika,Papua Tengah,-4.5428,136.9189
Kab. Polewali Mandar,Sulawesi Barat,-3.4285,119.3491
Kab. Sumba Barat Daya,Nusa Tenggara Timur,-9.645,119.117
Kab. Sumba Timur,Nusa Tenggara Timur,-9.6588,120.2612
Kota Ambon,Maluku,-3.6599,128.1873
Kota Bau-Bau,Sulawesi Tenggara,-5.462,122.6288
Kota Bima,Nusa Tenggara Barat,-8.477,118.73
Kota Denpasar,Bali,-8.6556,115.2162
Kota Gorontalo,Gorontalo,0.5369,123.0592
Kota Jayapura,Papua,-2.5333,140.7
Kota Kendari,Sulawesi Tenggara,-3.9859,122.5165
Kota Kotamobagu,Sulawesi Utara,0.73,124.3
Kota Kupang,Nusa Tenggara Timur,-10.1702,123.5707
Kota Makassar,Sulawesi Selatan,-5.1477,119.4327
Kota Mamuju,Sulawesi Barat,-2.679,118.887
Kota Manado,Sulawesi Utara,1.4748,124.8421
Kota Mataram,Nusa Tenggara Barat,-8.5833,116.1167
Kota Maumere,Nusa Tenggara Timur,-8.6186,122.2158
Kota Palopo,Sulawesi Selatan,-2.999,120.198
Kota Palu,Sulawesi Tengah,-0.8988,119.8655
Kota Parepare,Sulawesi Selatan,-4.018,119.63
Kota Singaraja,Bali,-8.113,115.086
Kota Sorong,Papua Barat Daya,-0.8803,131.2588
Kota Ternate,Maluku Utara,0.7937,127.3697
Kota Tual,Maluku,-5.63,132.74
Kota Watampone,Sulawesi Selatan,-4.5387,120.3250
Kab. Manokwari,Papua Barat,-0.8616,134.0622
Kab. Sumbawa,Nusa Tenggara Barat,-8.5833,117.3333